"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20"
"43" -4067.14417622123 -3986.45862959441 -4017.06935438297 -4014.95054814432 -4040.05262230829 -4008.11545796059 -3990.47209555458 -3981.14866390848 -4041.76434028188 -3994.68446444279 -4053.00766841072 -4051.801274956 -4053.7718310309 -4065.93970502133 -4014.73437651124 -4045.72225665289 -4006.55957996228 -4063.35579118282 -3977.36882241453 -4030.68105791944
"44" -4065.96567172076 -3986.3410322948 -4017.03398907196 -4014.75497720044 -4039.94001911332 -4008.06333868539 -3990.39281609918 -3981.08695427842 -4041.51391451156 -3994.61896518671 -4052.54067738307 -4051.4179872436 -4053.24765306547 -4065.742249668 -4014.67504529417 -4045.69248394578 -4006.28785246643 -4060.97726203276 -3977.31096560804 -4030.20738231375
"45" -4064.63412646287 -3986.22552320322 -4017.00196850784 -4014.59217031296 -4039.82914454632 -4008.01446314264 -3990.31781075369 -3981.02786945486 -4041.28306724648 -3994.55739142729 -4051.98230110604 -4051.05519365713 -4052.75060645617 -4065.5255405237 -4014.61940469462 -4045.66580692277 -4006.00334725532 -4058.33119234786 -3977.25631025477 -4029.75059735414
"46" -4063.15026770576 -3986.11180632218 -4016.97287036901 -4014.45553914387 -4039.72022492401 -4007.9683730829 -3990.24674551489 -3980.97125431909 -4041.06977586481 -3994.49944578451 -4051.30993008564 -4050.70971255595 -4052.27786384243 -4065.28751914669 -4014.56712835546 -4045.64174343555 -4005.70063329052 -4055.49912556835 -3977.20464766774 -4029.3105529733
"47" -4061.52444998374 -3985.99960402787 -4016.94633176021 -4014.3398954856 -4039.6135110584 -4007.92464802269 -3990.17932382895 -3980.91696561841 -4040.87228664332 -3994.4448532188 -4050.49608527415 -4050.37898971997 -4051.8269882398 -4065.02603259003 -4014.51791998781 -4045.61989964545 -4005.37441713693 -4052.60805444832 -3977.15578577914 -4028.88742916776
"48" -4059.77787008471 -3985.88865458029 -4016.92204038294 -4014.24115465334 -4039.50926484247 -4007.88289895118 -3990.11528032181 -3980.8648698208 -4040.68907035571 -3994.39335918102 -4049.50802783266 -4050.06094884916 -4051.39588663091 -4064.73887372701 -4014.47151003327 -4045.59995372618 -4005.0195535034 -4049.80966451512 -3977.10954743183 -4028.48164143205
"49" -4057.9417678582 -3985.77870997457 -4016.89972710487 -4014.15609988741 -4039.4077470298 -4007.84276281336 -3990.05437583646 -3980.81484143281 -4040.51878511542 -3994.34472798226 -4048.30800303107 -4049.75388604726 -4050.98280862074 -4064.42384054846 -4014.42765287983 -4045.58164200878 -4004.63110713384 -4047.24398541849 -3977.06576890589 -4028.09375104632
"50" -4056.05407364289 -3985.66953408232 -4016.87915968498 -4014.08219513814 -4039.30920651012 -4007.8038976373 -3989.99639349592 -3980.76676168738 -4040.36024583847 -3994.29874134466 -4046.85476216537 -4049.45639265559 -4050.58634895385 -4064.0788168264 -4014.38612452094 -4045.56474760862 -4004.20447150048 -4045.0039314676 -3977.0242986381 -4027.72437756179
"51" -4054.1538972548 -3985.56090105005 -4016.86013745729 -4014.01743687751 -4039.21387132491 -4007.76597819716 -3989.94113557095 -3980.72051752544 -4040.21239947641 -3994.25519710201 -4045.1072923972 -4049.1672971994 -4050.20543359156 -4063.70187526802 -4014.34672056084 -4045.54909125845 -4003.73554954825 -4043.1193612417 -3976.98499610171 -4027.37411512621
"52" -4052.2754125669 -3985.45259393583 -4016.84248681382 -4013.96023746519 -4039.12194158072 -4007.72869212418 -3989.88842097761 -3980.67600080867 -4040.07430509917 -3994.21390802489 -4043.03171389105 -4048.88562087452 -4049.83928605332 -4063.29140191873 -4014.30925448838 -4045.53452398539 -4003.22099913071 -4041.56616590923 -3976.94773082015 -4027.04345657628
"53" -4050.44339231038 -3985.34440357548 -4016.82605735733 -4013.90933388149 -4039.03358431649 -4007.69173639518 -3989.8380832668 -3980.63310771268 -4039.94511793958 -3994.17470075017 -4040.61169895313 -4048.61054307606 -4049.48737964942 -4062.84623697265 -4014.27355615947 -4045.52092128215 -4002.65853972287 -4040.28998004169 -3976.9123814941 -4026.73273019059
"54" -4048.67229920538 -3985.23612767789 -4016.81071861797 -4013.8637166649 -4038.94893027961 -4007.65481414408 -3989.78996899652 -3980.59173825841 -4039.82407660085 -3994.13741479859 -4037.86114447857 -4048.34137464428 -4049.1493834799 -4062.36582241274 -4014.23947044347 -4045.50817846998 -4002.04730642543 -4039.22948835611 -3976.87883522472 -4026.44205370544
"55" -4046.96941068906 -3985.12757015506 -4016.79635724674 -4013.82257478076 -4038.86807247367 -4007.61763175509 -3989.74393640089 -3980.55179594795 -4039.71049274348 -3994.1019016677 -4034.83561268727 -4048.0775371753 -4048.8251087789 -4061.85034152777 -4014.2068560014 -4045.49620700506 -4001.3882216224 -4038.3307878984 -3976.84698681957 -4026.17130874693
"56" -4045.34041727842 -3985.01854069674 -4016.78287461358 -4013.78525293387 -4038.7910662693 -4007.57989620985 -3989.69985428832 -3980.5131874768 -4039.60374268809 -3994.06802399017 -4031.63845202738 -4047.81854713433 -4048.5144598558 -4061.30083037052 -4014.17558417263 -4045.48493152934 -4000.68433481377 -4037.55247614712 -3976.81673816977 -4025.92013656248
"57" -4043.79425139402 -3984.90885460286 -4016.77018474992 -4013.75121852616 -4038.71793082101 -4007.54131267249 -3989.65760111638 -3980.47582250031 -4039.50326048346 -3994.03565474957 -4028.42074743624 -4047.56400374032 -4048.21739182245 -4060.71923817876 -4014.14553795316 -4045.47428750894 -3999.94106073377 -4036.86505874107 -3976.78799768901 -4025.68795338907
"58" -4042.34471771665 -3984.79833288818 -4016.75821258523 -4013.7200360463 -4038.64865150932 -4007.50158230933 -3989.61706420231 -3980.43961343616 -4039.40853208847 -3994.00467654755 -4025.37470920369 -4047.31357973442 -4047.93387588663 -4060.10841446633 -4014.11661105372 -4045.46421933669 -3999.16623224204 -4036.24821605095 -3976.76067980675 -4025.47398157526
"59" -4041.01072809526 -3984.68680267439 -4016.74689243464 -4013.69134716538 -4038.58318312638 -4007.4604003521 -3989.57813903798 -3980.40447528856 -4039.31909039983 -3993.97498091761 -4022.70115988208 -4047.06701424311 -4047.66387217046 -4059.47200635079 -4014.08870702866 -4045.45467880216 -3998.36988824153 -4035.68797098094 -3976.7347045089 -4025.27729115176
"60" -4039.81766572614 -3984.57409788374 -4016.73616670181 -4013.66485520753 -4038.52145354029 -4007.41745442674 -3989.54072868528 -3980.37032548302 -4039.23451092526 -3993.94646768186 -4020.53038224907 -4046.82410702759 -4047.40730958256 -4058.81426102399 -4014.06173846904 -4045.44562385368 -3997.56374836293 -4035.17450706415 -3976.70999692036 -4025.09684613367
"61" -4038.79366082297 -3984.46006024552 -4016.72598476588 -4013.64031297692 -4038.46336760352 -4007.37242318363 -3989.50474323411 -3980.33708370281 -4039.1544079555 -3993.91904434774 -4018.86181023594 -4046.584713493 -4047.16407206434 -4058.139743606 -4014.03562625482 -4045.43701759267 -3996.76038851095 -4034.70070216941 -3976.68648692488 -4024.9315503634
"62" -4037.9545131131 -3984.34454062273 -4016.71630202644 -4013.61751316657 -4038.40881110869 -4007.32497527982 -3989.47009930944 -3980.30467172059 -4039.07843112891 -3993.89262554235 -4017.59917027984 -4046.34873992403 -4046.93399043679 -4057.45299658856 -4014.01029886176 -4045.42882745369 -3995.97221309492 -4034.26120788342 -3976.66410881796 -4024.78028888474
"63" -4037.29080007092 -3984.22740065933 -4016.70707908391 -4013.59628076164 -4038.35765463569 -4007.27476877948 -3989.43671961771 -3980.2730132202 -4039.00626231397 -3993.86713248251 -4016.62618334137 -4046.11613852507 -4046.71683904283 -4056.75817926164 -4013.98569171944 -4045.42102453345 -3995.21039304979 -4033.85188443483 -3976.64280098939 -4024.64196230498
"64" -4036.7726530878 -3984.10851473904 -4016.69828103608 -4013.57646699156 -4038.30975717449 -4007.22145105528 -3989.40453252537 -3980.24203360541 -4038.93761275661 -3993.84249247872 -4015.8493399797 -4045.88690197331 -4046.51233638895 -4056.0587300555 -4013.96174661715 -4045.41358303937 -3994.48396940564 -4033.46944895726 -3976.62250563232 -4024.51551302065
"65" -4036.36450971803 -3983.98777223428 -4016.68987687416 -4013.55794449303 -4038.26496944454 -4007.16465929003 -3989.37347166461 -3980.21165979342 -4038.87222045623 -3993.81863847154 -4015.20493916728 -4045.66105733762 -4046.32014902523 -4055.3570899691 -4013.93841115453 -4045.40647983476 -3993.79928909154 -4033.11124703941 -3976.60316847625 -4024.39994333067
"66" -4036.03559027826 -3983.86508000655 -4016.68183896437 -4013.54060342543 -4038.22313686315 -4007.10402169458 -3989.34347556253 -3980.18181999251 -4038.8098477445 -3993.79550859907 -4014.65221275933 -4045.43865936877 -4046.13989795054 -4054.65451262306 -4013.91563823405 -4045.39969406213 -3993.15985111846 -4032.77509551163 -3976.58473854156 -4024.2943262423
"67" -4035.76295753876 -3983.74036509793 -4016.67414260263 -4013.5243483408 -4038.18410214165 -4007.03915957248 -3989.31448729159 -3980.15244346427 -4038.75027904925 -3993.77304579403 -4014.16524329947 -4045.21978331353 -4045.97116686729 -4053.95096997075 -4013.8933855926 -4045.39320682999 -3992.56653344661 -4032.45916793538 -3976.56716791354 -4024.19781020074
"68" -4035.53060052561 -3983.61357752552 -4016.66676563209 -4013.50909565508 -4038.14770750764 -4006.96969037443 -3989.28645413937 -3980.12346027269 -4038.69331883002 -3993.75119740925 -4013.72717788879 -4045.00451753469 -4045.81351161065 -4053.24514726465 -4013.87161536935 -4045.38700095136 -3992.01808723187 -4032.16190757264 -3976.5504115341 -4024.10961911596
"69" -4035.3275486849 -3983.48469305624 -4016.65968811435 -4013.49477160115 -4038.11379656705 -4006.89523189165 -3989.25932729671 -3980.09480102433 -4038.63878967495 -3993.72991487008 -4013.32668228905 -4044.79295631625 -4045.66647001156 -4052.53451049449 -4013.85029370732 -4045.38106072443 -3991.51175215455 -4031.88195974622 -3976.53442700963 -4024.02904901155
"70" -4035.1462305156 -3983.35371579717 -4016.65289204682 -4013.48131056987 -4038.08221582936 -4006.81540773653 -3989.23306156338 -3980.06639660651 -4038.58653055043 -3993.70915335262 -4012.95587808737 -4044.58519328648 -4045.529571312 -4051.8154260409 -4013.82939038607 -4045.37537174807 -3991.04386294538 -4031.6181191799 -3976.51917443338 -4023.95546246803
"71" -4034.98131094324 -3983.22068038622 -4016.64636111956 -4013.46865376441 -4038.05281592591 -4006.72985424639 -3989.2076150707 -3980.03817793467 -4038.53639519549 -3993.68887148622 -4012.60914149073 -4044.38131589307 -4045.40234407175 -4051.08331535037 -4013.80887848301 -4045.36992076571 -3990.61036214686 -4031.36928972172 -3976.50461622126 -4023.88828183868
"72" -4034.82892794064 -3983.08565350975 -4016.64008050586 -4013.45674810851 -4038.02545255435 -4006.63822891809 -3989.18294902068 -3980.01007572563 -4038.48825065341 -3993.66903107907 -4012.28238098744 -4044.18140131239 -4045.28432141677 -4050.33283522528 -4013.78873406109 -4045.36469553279 -3990.20718320295 -4031.13445468037 -3976.49071695988 -4023.82698201824
"73" -4034.68620380173 -3982.94873440887 -4016.63403668189 -4013.44554536045 -4037.99998718314 -4006.54022043457 -3989.1590274413 -3979.98202032181 -4038.44197593321 -3993.64959686554 -4011.9725817123 -4043.9855140727 -4045.1750427127 -4049.55808460931 -4013.76893588053 -4045.35968470386 -3989.83050515529 -4030.91265631914 -3976.47744326571 -4023.77108336162
"74" -4034.55093277299 -3982.81005397124 -4016.62821727102 -4013.43500139419 -4037.97628754944 -4006.43556027264 -3989.13581695747 -3979.95394160334 -4038.39746079304 -3993.63053627387 -4011.67750298333 -4043.79370553087 -4045.07405154971 -4048.75284960319 -4013.74946513254 -4045.35487773575 -3989.47690066461 -4030.70298312046 -3976.46476365447 -4023.72014518489
"75" -4034.42137938353 -3982.6697719542 -4016.62261090953 -4013.42507561597 -4037.95422798175 -4006.32403578333 -3989.11328657732 -3979.9257690419 -4038.35460463807 -3993.61181921307 -4011.39546796632 -4043.60601517834 -4044.98089129664 -4047.91090836725 -4013.73030519317 -4045.35026480433 -3989.14340549259 -4030.50456341108 -3976.45264841995 -4023.6737601336
